EFO	SNP-Heritability	5 Year Prevalence
EFO_0000095	0.0018826208984498	9.273431074484e-05
EFO_0000198	0.0001801763978533	0.0007461540886606
EFO_0000217	0.0010842636858851	0.0050125209176323
EFO_0000275	0.0037253949016048	0.0065854780244035
EFO_0000280	0.0035267526620232	
EFO_0000284	0.0056709742294058	0.0142315050460676
EFO_0000319		0.0778230539458064
EFO_0000341	0.0033065897852144	0.0273117146688449
EFO_0000384	0.0043991588134567	0.0005014676698539
EFO_0000400	0.0448210081294474	0.0644566607893725
EFO_0000403	-0.0003694706872016	
EFO_0000407	0.0022141381863767	0.000547962509148
EFO_0000464	0.0115391850942228	
EFO_0000474	-0.0039334367330365	0.0031198276792398
EFO_0000537	0.0038977509562419	0.0015728683503531
EFO_0000538	0.0022141381863767	0.000547962509148
EFO_0000555	0.0032080665175084	
EFO_0000571	0.0059176947301017	0.0004169483223337
EFO_0000649	0.0011450757864572	0.1381788358611707
EFO_0000668	0.0024264965962893	
EFO_0000676	0.0023024834254857	0.0055412056683677
EFO_0000681	0.0016785349678527	
EFO_0000685	0.0028136578502129	0.0022951455798654
EFO_0000699	-0.0007435872118676	
EFO_0000707	0.0031534425648709	0.0002742220046325
EFO_0000712	0.0026872991193131	0.0119431021459067
EFO_0000729	-0.0002726223986824	0.0005014676698539
EFO_0000756	0.0061535706359309	0.0002889016212523
EFO_0000783	-0.0015832687347129	
EFO_0001060	0.0052600714411649	
EFO_0001065	0.0010094339476601	0.0029915610610152
EFO_0001068	0.0022226941677581	0.0221694039347142
EFO_0001073	0.0055668361490707	
EFO_0001075	-0.0017662190810868	0.0001578775745075
EFO_0001378	-0.0013877706888872	5.088564721234e-05
EFO_0001422	-6.30763592416198e-05	0.2202869819956904
EFO_0001645	0.0310504148659587	
EFO_0001663	0.0314251583393523	0.0013196497807653
EFO_0002496	0.0055545890074223	
EFO_0003106	-0.0023714643145872	
EFO_0003144	0.0029213754232393	
EFO_0003756	0.0014404900304851	0.0081191619634756
EFO_0003770	0.0021664346647932	
EFO_0003819	0.0036259871403627	0.2948621455506383
EFO_0003827	0.0050772176335014	
EFO_0003875	0.0041005548019464	
EFO_0003877	0.0033340170671029	
EFO_0003882	0.0014340137243387	
EFO_0003884	0.0018576059838348	0.0871042386983935
EFO_0003894	0.0052734448490248	0.0313390696839675
EFO_0003898	0.0038218014602099	
EFO_0003913	0.0092413601540878	
EFO_0003931	0.0077953314400914	
EFO_0003948	0.0129671341472379	0.1066703834075079
EFO_0004143	0.0194744165722349	
EFO_0004192		0.002301232293662
EFO_0004193	0.012296796131358	5.854724807981999e-05
EFO_0004197		0.0010039522624025
EFO_0004208	0.0088841589620968	
EFO_0004210	0.0090004016986866	0.032666818472115
EFO_0004213	0.0023371580190251	
EFO_0004234	0.0021770801402495	
EFO_0004238	0.0033459252819917	0.1977355473448496
EFO_0004242	0.0151274071360368	
EFO_0004244	0.0031021294326878	0.0005508676536723
EFO_0004253	0.0099268668506035	0.0011047110206542
EFO_0004262	-0.0008536664425866	
EFO_0004269	-0.0025118842991341	
EFO_0004274	0.0028713020234121	0.0072370024984715
EFO_0004283	0.0023538544352219	
EFO_0004289	0.0015668275050097	
EFO_0004309	0.307883508403322	
EFO_0004312	0.236934097362501	
EFO_0004314	0.191973116339244	
EFO_0004338	0.265414908023904	
EFO_0004340	0.248198328871121	
EFO_0004458	0.192542041038043	
EFO_0004468	0.0891545078023933	
EFO_0004509	0.173933361488836	
EFO_0004527	0.253000672743853	
EFO_0004528	0.0531757658955728	
EFO_0004530	0.218168628967174	
EFO_0004531	0.119293927836575	
EFO_0004532	0.228267468474742	
EFO_0004533	0.308597060381255	
EFO_0004536	0.166598380245445	
EFO_0004541	0.195971317084869	
EFO_0004574	0.112141828885837	
EFO_0004587	0.210252413809192	
EFO_0004593	0.0511858671876038	
EFO_0004607	0.0001946328854894	
EFO_0004615	0.0915113214464083	
EFO_0004617	0.321397539310689	
EFO_0004627	0.253211972821454	
EFO_0004698	0.0623925942578192	
EFO_0004705	0.0039101093220374	
EFO_0004736	0.14254617178099	
EFO_0004799	0.0213923003594543	
EFO_0004833	0.16410841837731	
EFO_0004842	0.184030275066628	
EFO_0004992	0.0010613449868905	0.0160541421649869
EFO_0004994	-0.0009848801750757	
EFO_0005090	0.024211054298745	
EFO_0005091	0.230464373312797	
EFO_0005531	-0.003305425489104	0.0087666701945942
EFO_0005763	0.143207934394963	
EFO_0005773	0.0041515106394193	
EFO_0005854	0.0914302522404401	
EFO_0005938	-0.0030520792329322	0.0020897458122358
EFO_0005952	0.0014378112126874	0.0003783242363867
EFO_0006335	0.135106322463183	
EFO_0006336	0.119300257378886	
EFO_0006788	0.0017745370145153	0.0420659565867076
EFO_0006803	0.0026041942279821	
EFO_0006925	0.126788508704889	
EFO_0006927	-0.0034871482261998	
EFO_0006941	0.116880277234816	
EFO_0007167	0.0037587491123485	
EFO_0007204	0.0007600957167511	0.0006930294863228
EFO_0007326	-0.0029115643589229	
EFO_0007429	0.0001181689544604	
EFO_0007490	0.0046902731269305	
EFO_0007777	0.296320666428705	
EFO_0007800	0.229998635388704	
EFO_0007984	0.203398952500208	
EFO_0007985	0.255683540573494	
EFO_0007986	0.227442225561237	
EFO_0007989	0.213031054542263	
EFO_0007990	0.152658077293194	
EFO_0007991	0.2152654179768	
EFO_0007992	0.0486499329302408	
EFO_0007993	0.163167876420496	
EFO_0008561	0.0097531696604007	
EFO_0009130	0.0004711903803369	
EFO_0009188	0.217173323818916	
EFO_0009189	0.0069405975503436	
EFO_0009270	0.332595066912237	
EFO_0009454	0.0017282727189307	0.0008536518799158
EFO_0009819	0.14196879438431	
EFO_0009959	0.012542433495272	
EFO_0010067	0.335974676354742	
EFO_0010701	0.199967220688833	
EFO_0010822	-0.0013017188626573	
EFO_0010967	0.0425537531282338	
EFO_0010968	0.133649523168116	
EFO_0022264	0.32951423954434	
EFO_1000049	0.0023898306523472	0.254329373756687
EFO_1000391	0.0052139678078417	
EFO_1000652	0.0018020984993242	0.0007747690835975
EFO_1000657	0.0015414555346813	0.0014823322034323
EFO_1000726	0.0001058588805801	
EFO_1000764		0.0027369489171449
EFO_1000786	0.0213769187132604	0.0046064405989527
EFO_1000802		0.0003883350831159
EFO_1000910	-0.0026273536791288	
EFO_1000941	0.0037974647879678	
EFO_1001160	-0.0006515486549803	
EFO_1001178	0.0036158983494162	
EFO_1001494		0.0055412056683677
EFO_1001513	0.0027142082129326	9.661830220794e-05
EFO_1001864	0.0133480359317068	0.0161180274944633
HP_0000360	0.015506053711691	
HP_0000486	0.0043237914385749	
HP_0000964	0.009088157361635	0.0316794568642636
HP_0001082	-0.0003273015754162	
HP_0001537	0.0022053762313919	
HP_0001634	-0.0021661996132311	0.0019973485389471
HP_0002015	-0.0006624638408823	
HP_0002315	0.0487808101693461	0.3668004194804248
HP_0002321	-0.0024724882181343	
HP_0002619	0.0033216187170939	
HP_0003418	0.0114581646896581	
HP_0012115	0.0015248911062612	0.002907946548449
HP_0100790	0.0164622270715289	0.0021289603434025
MONDO_0001627	0.0019964013496226	
MONDO_0001823	-0.0002228695271735	
MONDO_0002009	0.0069333535271052	0.0270964260944223
MONDO_0002108	3.17547010439954e-05	0.0002549986885708
MONDO_0002253	0.0068870685360115	
MONDO_0002367	0.0019316450477734	0.0002553105004947
MONDO_0002974	0.000113212972176	0.0004414544289055
MONDO_0004867	0.000949770895949	0.0233387373683989
MONDO_0004975	-0.0017625918352896	0.0070686670017563
MONDO_0004979	0.0015244099637652	0.0339499711317832
MONDO_0004985	0.575511259504736	0.0048910099195374
MONDO_0004986	0.0065949485583143	0.0003879074911652
MONDO_0005041	0.001980286413272	0.0009888580690709
MONDO_0005090	4.79030972939049e-05	0.0030253956659298
MONDO_0005129	0.0145214986262188	0.0128051399650794
MONDO_0005147	0.0036997227471027	0.0024998856360003
MONDO_0005148	0.0033305001517624	0.0619567751533721
MONDO_0005178	0.021940914829737	0.0770867202440265
MONDO_0005180		0.0014596437582239
MONDO_0005277	0.001223053057828	0.1515831328674608
MONDO_0005301	0.0009100542684467	0.0002457397517066
MONDO_0005575	0.0026430882917206	0.0014823322034323
MONDO_0007254	0.0155911514406606	0.0026363708155703
MONDO_0007915	-0.0011610261210143	
MONDO_0008315	0.0314251583393523	0.0013196497807653
MONDO_0008903	0.0068566928205007	0.0004169483223337
MONDO_0018076	0.0023898306523472	0.254329373756687
MONDO_0018364		0.0001578775745075
MONDO_0019338	0.0104725719738728	
MONDO_0021108	-0.0014938084897985	0.0009376853098529
MONDO_0024647	0.0099268668506035	0.0005220510848018
